Round Number,Date,Location,Team_1,Team_2,Group ,Result
1,05-10-2023,Ahmedabad,England,New Zealand,Group A,
1,06-10-2023,Hyderabad,Netherlands,Pakistan,Group A,
1,07-10-2023,Dharmasala,Afghanistan,Bangladesh,Group A,
1,07-10-2023,Delhi,South Africa,Sri Lanka,Group A,
1,08-10-2023,Chennai,India,Australia,Group A,
1,09-10-2023,Hyderabad,Netherlands,New Zealand,Group A,
1,10-10-2023,Dharmasala,Bangladesh,England,Group A,
1,11-10-2023,Delhi,India,Afghanistan,Group A,
1,12-10-2023,Hyderabad,Pakistan,Sri Lanka,Group A,
1,13-10-2023,Lucknow,Australia,South Africa,Group A,
1,14-10-2023,Chennai,Bangladesh,New Zealand,Group A,
1,14-10-2023,Delhi,Afghanistan,England,Group A,
1,15-10-2023,Ahmedabad,India,Pakistan,Group A,
1,16-10-2023,Lucknow,Australia,Sri Lanka,Group A,
1,17-10-2023,Dharmasala,Netherlands,South Africa,Group A,
1,18-10-2023,Chennai,New Zealand,Afghanistan,Group A,
1,19-10-2023,Pune,India,Bangladesh,Group A,
1,20-10-2023,Bengaluru,Australia,Pakistan,Group A,
1,21-10-2023,Lucknow,Netherlands,Sri Lanka,Group A,
1,21-10-2023,Wankhede,England,South Africa,Group A,
1,22-10-2023,Dharmasala,India,New Zealand,Group A,
1,23-10-2023,Chennai,Afghanistan,Pakistan,Group A,
1,24-10-2023,Wankhede,Bangladesh,South Africa,Group A,
1,25-10-2023,Delhi,Australia,Netherlands,Group A,
1,26-10-2023,Bengaluru,England,Sri Lanka,Group A,
1,27-10-2023,Chennai,Pakistan,South Africa,Group A,
1,28-10-2023,Dharmasala,Australia,New Zealand,Group A,
1,28-10-2023,Eden Gardens,Bangladesh,Netherlands,Group A,
1,29-10-2023,Lucknow,India,England,Group A,
1,30-10-2023,Pune,Afghanistan,Sri Lanka,Group A,
1,31-10-2023,Eden Gardens,Bangladesh,Pakistan,Group A,
1,01-11-2023,Pune,New Zealand,South Africa,Group A,
1,02-11-2023,Wankhede,India,Sri Lanka,Group A,
1,03-11-2023,Lucknow,Afghanistan,Netherlands,Group A,
1,04-11-2023,Bengaluru,New Zealand,Pakistan,Group A,
1,04-11-2023,Ahmedabad,Australia,England,Group A,
1,05-11-2023,Eden Gardens,India,South Africa,Group A,
1,06-11-2023,Delhi,Bangladesh,Sri Lanka,Group A,
1,07-11-2023,Wankhede,Afghanistan,Australia,Group A,
1,08-11-2023,Pune,England,Netherlands,Group A,
1,09-11-2023,Bengaluru,New Zealand,Sri Lanka,Group A,
1,10-11-2023,Ahmedabad,Afghanistan,South Africa,Group A,
1,11-11-2023,Bengaluru,India,Netherlands,Group A,
1,12-11-2023,Pune,Australia,Bangladesh,Group A,
1,12-11-2023,Eden Gardens,England,Pakistan,Group A,
Semi Finals,15-11-2023,Wankhede,To be announced,To be announced,,
Semi Finals,16-11-2023,Eden Gardens,To be announced,To be announced,,
Finals,19-11-2023,Ahmedabad,To be announced,To be announced,,
